Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","-","13-CC1210KFX7R9BB475TR-ND,13-CC1210KFX7R9BB475CT-ND,13-CC1210KFX7R9BB475DKR-ND","CC1210KFX7R9BB475","Yageo","Yageo","MLCC CAP","17,862","0.48","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","4.7µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"""" L x 0.098"""" W (3.20mm x 2.50mm)","-","0.110"""" (2.80mm)","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_21.pdf","//media.digikey.com/Renders/Yageo%20Renders/RL%20Series%201210(3225%20Metric).jpg","13-CC1210KKX7RBBB472TR-ND,13-CC1210KKX7RBBB472CT-ND,13-CC1210KKX7RBBB472DKR-ND","CC1210KKX7RBBB472","Yageo","Yageo","CAP CER 4700PF 500V X7R 1210","5,956","0.71","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","4700pF","±10%","500V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"""" L x 0.098"""" W (3.20mm x 2.50mm)","-","0.057"""" (1.45mm)","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","-","13-CC1210KFX7R8BB106TR-ND,13-CC1210KFX7R8BB106CT-ND,13-CC1210KFX7R8BB106DKR-ND","CC1210KFX7R8BB106","Yageo","Yageo","MLCC CAP","19,840","0.58","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","10µF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"""" L x 0.098"""" W (3.20mm x 2.50mm)","-","0.083"""" (2.10mm)","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","//media.digikey.com/Renders/Yageo%20Renders/RL%20Series%201210(3225%20Metric).jpg","CC1210MKX7R6BB106-ND","CC1210MKX7R6BB106","Yageo","Yageo","CAP CER 10UF 10V X7R 1210","2,000","0.1596","0","2000","Tape & Reel (TR)","CC","Active","10µF","±20%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"""" L x 0.098"""" W (3.20mm x 2.50mm)","-","0.083"""" (2.10mm)","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","//media.digikey.com/Renders/Yageo%20Renders/RL%20Series%201210(3225%20Metric).jpg","311-4523-2-ND,311-4523-1-ND,311-4523-6-ND","CC1210KKX7R9BB154","Yageo","Yageo","CAP CER 0.15UF 50V X7R 1210","6,230","0.65","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","0.15µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"""" L x 0.098"""" W (3.20mm x 2.50mm)","-","0.049"""" (1.25mm)","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_21.pdf","//media.digikey.com/Renders/Yageo%20Renders/RL%20Series%201210(3225%20Metric).jpg","311-2044-2-ND,311-2044-1-ND,311-2044-6-ND","CC1210KKX7RYBB104","Yageo","Yageo","CAP CER 0.1UF 250V X7R 1210","19,560","0.66","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","0.1µF","±10%","250V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"""" L x 0.098"""" W (3.20mm x 2.50mm)","-","0.071"""" (1.80mm)","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","//media.digikey.com/Renders/Yageo%20Renders/RL%20Series%201210(3225%20Metric).jpg","311-3539-2-ND,311-3539-1-ND,311-3539-6-ND","CC1210MKX7R6BB475","Yageo","Yageo","CAP CER 4.7UF 10V X7R 1210","5,269","0.52","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","4.7µF","±20%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"""" L x 0.098"""" W (3.20mm x 2.50mm)","-","0.083"""" (2.10mm)","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_21.pdf","//media.digikey.com/Renders/Yageo%20Renders/RL%20Series%201210(3225%20Metric).jpg","311-1514-2-ND,311-1514-1-ND,311-1514-6-ND","CC1210KKX7R0BB104","Yageo","Yageo","CAP CER 0.1UF 100V X7R 1210","3,369","0.54","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","0.1µF","±10%","100V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"""" L x 0.098"""" W (3.20mm x 2.50mm)","-","0.037"""" (0.95mm)","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","//media.digikey.com/Renders/Yageo%20Renders/RL%20Series%201210(3225%20Metric).jpg","311-2026-2-ND,311-2026-1-ND,311-2026-6-ND","CC1210KKX7R6BB226","Yageo","Yageo","CAP CER 22UF 10V X7R 1210","172","0.74","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","22µF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"""" L x 0.098"""" W (3.20mm x 2.50mm)","-","0.106"""" (2.70mm)","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_21.pdf","//media.digikey.com/Renders/Yageo%20Renders/RL%20Series%201210(3225%20Metric).jpg","311-2024-2-ND,311-2024-1-ND,311-2024-6-ND","CC1210KKX7R0BB225","Yageo","Yageo","CAP CER 2.2UF 100V X7R 1210","5,225","1.54","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","2.2µF","±10%","100V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"""" L x 0.098"""" W (3.20mm x 2.50mm)","-","0.087"""" (2.20mm)","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","//media.digikey.com/Renders/Yageo%20Renders/RL%20Series%201210(3225%20Metric).jpg","311-4522-2-ND,311-4522-1-ND,311-4522-6-ND","CC1210KKX7R9BB104","Yageo","Yageo","CAP CER 0.1UF 50V X7R 1210","12,271","0.46","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","0.1µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"""" L x 0.098"""" W (3.20mm x 2.50mm)","-","0.037"""" (0.95mm)","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","//media.digikey.com/Renders/Yageo%20Renders/RL%20Series%201210(3225%20Metric).jpg","311-3534-2-ND,311-3534-1-ND,311-3534-6-ND","CC1210KKX7R7BB105","Yageo","Yageo","CAP CER 1UF 16V X7R 1210","9,244","0.48","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","1µF","±10%","16V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"""" L x 0.098"""" W (3.20mm x 2.50mm)","-","0.057"""" (1.45mm)","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_21.pdf","//media.digikey.com/Renders/Yageo%20Renders/RL%20Series%201210(3225%20Metric).jpg","311-4519-2-ND,311-4519-1-ND,311-4519-6-ND","CC1210KKX7R0BB154","Yageo","Yageo","CAP CER 0.15UF 100V X7R 1210","11,561","0.61","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","0.15µF","±10%","100V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"""" L x 0.098"""" W (3.20mm x 2.50mm)","-","0.057"""" (1.45mm)","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/mlcc/UPY-NP0X7R_HV_1KV-to-3KV_11.pdf","//media.digikey.com/Renders/Yageo%20Renders/RL%20Series%201210(3225%20Metric).jpg","311-2039-2-ND,311-2039-1-ND,311-2039-6-ND","CC1210KKX7RCBB103","Yageo","Yageo","CAP CER 10000PF 1KV X7R 1210","7,560","0.79","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","10000pF","±10%","1000V (1kV)","X7R","-55°C ~ 125°C","High Voltage","-","General Purpose","-","Surface Mount, MLCC","1210 (3225 Metric)","0.126"""" L x 0.098"""" W (3.20mm x 2.50mm)","-","0.057"""" (1.45mm)","-","-"
